Address,Register,Value,Description
CA 02 C4 05 01 FD 05 FD 02 EC F9 1C 30 CF 31 39 B5 41 2D F0 66 8F AD
AA 00 01 CA FD 3B FA FE 02 FA 02 FD 13 06 E3 CF 30 CE 39 4A BE 2D F0 66 70 52
AA FF FE CA 02 C4 05 01 FD 05 FD 02 EC F9 1C 30 CF 31 39 B5 41 2D F0 66 8F AD
AA 00 01 CA FD 3B FA FE 02 FA 02 FD 13 06 E3 CF 30 CE 39 4A BE 2D F0 66 70 52
AA FF FE CA 02 C4 05 01 FD 05 FD 02 EC F9 1C 30 CF 31 39 B5 41 2D F0 66 8F AD
AA 00 01 CA FD 3B FA FE 02 FA 02 FD 13 06 E3 CF 30 CE 39 4A BE 2D F0 66 70 52
AA FF FE CA 02 C4 05 01 FD 05 FD 02 EC F9 1C 30 CF 31 39 B5 41 2D F0 66 8F AD
AA 00 01 CA FD 3B FA FE 02 FA 02 FD 13 06 E3 CF 30 CE 39 4A BE 2D F0 66 70 52 00 00 00

// Then after 3 transmits
0x12,MDMCFG2,0x12,Modem configuration
7: DEM_DCFILT_OFF
6:4 MOD_FORMAT (2-FSK)
3 Manchester_EN
2:0 SYNC_MODE
  0b0 001 0 010

// 0x0D,FREQ2,0x21,"Frequency control word, high byte"  858
0x0E,FREQ1,0x66,"Frequency control word, middle byte" 10.359375
0x0F,FREQ0,0xE3,"Frequency control word, low byte" 0.09006225000000001

Send 0xff xff 0xff 0fff


TX BOOT:







Close:
C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA FF FE C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA FF FE C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46 06 E3 CF


Open:
C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43l a  e      rh
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43 06 E3 CF

Close again:
C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA FF FE C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA FF FE C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46
AA FF FE C3 02 C4 05 01 FD F0 26 1E B9
AA 00 01 C3 FD 3B FA FE 02 F0 D9 1E 46 06 E3 CF

Open again:
C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43
AA FF FE C3 02 C4 05 01 FD F0 66 1A BC
AA 00 01 C3 FD 3B FA FE 02 F0 66 E5 43 06 E3 CF

